"FREQ","C1(2)[X=0.00]","C1(2)[X=100m]","C1(2)[X=200m]","C1(2)[X=300m]","C1(2)[X=400m]","C1(2)[X=500m]","C1(2)[X=600m]","C1(2)[X=700m]","C1(2)[X=800m]","C1(2)[X=900m]","C1(2)[X=1.00]"
938238.2382,0.00540409,0.00540409,0.00540409,0.00540409,0.00540409,0.00540409,0.00540409,0.00540409,0.00540409,0.00540409,0.00540409
946146.1461,0.00545331,0.00545331,0.00545331,0.00545331,0.00545331,0.00545331,0.00545331,0.00545331,0.00545331,0.00545331,0.00545331
954054.0541,0.00550263,0.00550263,0.00550263,0.00550263,0.00550263,0.00550263,0.00550263,0.00550263,0.00550263,0.00550263,0.00550263
961961.962,0.00555205,0.00555205,0.00555205,0.00555205,0.00555205,0.00555205,0.00555205,0.00555205,0.00555205,0.00555205,0.00555205
969869.8699,0.00560157,0.00560157,0.00560157,0.00560157,0.00560157,0.00560157,0.00560157,0.00560157,0.00560157,0.00560157,0.00560157
977777.7778,0.00565118,0.00565118,0.00565118,0.00565118,0.00565118,0.00565118,0.00565118,0.00565118,0.00565118,0.00565118,0.00565118
985685.6857,0.00570091,0.00570091,0.00570091,0.00570091,0.00570091,0.00570091,0.00570091,0.00570091,0.00570091,0.00570091,0.00570091
993593.5936,0.00575073,0.00575073,0.00575073,0.00575073,0.00575073,0.00575073,0.00575073,0.00575073,0.00575073,0.00575073,0.00575073
1001501.502,0.00580066,0.00580066,0.00580066,0.00580066,0.00580066,0.00580066,0.00580066,0.00580066,0.00580066,0.00580066,0.00580066
1009409.409,0.00585069,0.00585069,0.00585069,0.00585069,0.00585069,0.00585069,0.00585069,0.00585069,0.00585069,0.00585069,0.00585069
1017317.317,0.00590083,0.00590083,0.00590083,0.00590083,0.00590083,0.00590083,0.00590083,0.00590083,0.00590083,0.00590083,0.00590083
1025225.225,0.00595107,0.00595107,0.00595107,0.00595107,0.00595107,0.00595107,0.00595107,0.00595107,0.00595107,0.00595107,0.00595107
1033133.133,0.00600142,0.00600142,0.00600142,0.00600142,0.00600142,0.00600142,0.00600142,0.00600142,0.00600142,0.00600142,0.00600142
1041041.041,0.00605189,0.00605189,0.00605189,0.00605189,0.00605189,0.00605189,0.00605189,0.00605189,0.00605189,0.00605189,0.00605189
1048948.949,0.00610246,0.00610246,0.00610246,0.00610246,0.00610246,0.00610246,0.00610246,0.00610246,0.00610246,0.00610246,0.00610246
1056856.857,0.00615315,0.00615315,0.00615315,0.00615315,0.00615315,0.00615315,0.00615315,0.00615315,0.00615315,0.00615315,0.00615315
1064764.765,0.00620394,0.00620394,0.00620394,0.00620394,0.00620394,0.00620394,0.00620394,0.00620394,0.00620394,0.00620394,0.00620394
1072672.673,0.00625485,0.00625485,0.00625485,0.00625485,0.00625485,0.00625485,0.00625485,0.00625485,0.00625485,0.00625485,0.00625485
1080580.581,0.00630588,0.00630588,0.00630588,0.00630588,0.00630588,0.00630588,0.00630588,0.00630588,0.00630588,0.00630588,0.00630588
1088488.488,0.00635702,0.00635702,0.00635702,0.00635702,0.00635702,0.00635702,0.00635702,0.00635702,0.00635702,0.00635702,0.00635702
1096396.396,0.00640828,0.00640828,0.00640828,0.00640828,0.00640828,0.00640828,0.00640828,0.00640828,0.00640828,0.00640828,0.00640828
1104304.304,0.00645966,0.00645966,0.00645966,0.00645966,0.00645966,0.00645966,0.00645966,0.00645966,0.00645966,0.00645966,0.00645966
1112212.212,0.00651116,0.00651116,0.00651116,0.00651116,0.00651116,0.00651116,0.00651116,0.00651116,0.00651116,0.00651116,0.00651116
1120120.12,0.00656278,0.00656278,0.00656278,0.00656278,0.00656278,0.00656278,0.00656278,0.00656278,0.00656278,0.00656278,0.00656278
1128028.028,0.00661452,0.00661452,0.00661452,0.00661452,0.00661452,0.00661452,0.00661452,0.00661452,0.00661452,0.00661452,0.00661452
1135935.936,0.00666638,0.00666638,0.00666638,0.00666638,0.00666638,0.00666638,0.00666638,0.00666638,0.00666638,0.00666638,0.00666638
1143843.844,0.00671837,0.00671837,0.00671837,0.00671837,0.00671837,0.00671837,0.00671837,0.00671837,0.00671837,0.00671837,0.00671837
1151751.752,0.00677048,0.00677048,0.00677048,0.00677048,0.00677048,0.00677048,0.00677048,0.00677048,0.00677048,0.00677048,0.00677048
1159659.66,0.00682272,0.00682272,0.00682272,0.00682272,0.00682272,0.00682272,0.00682272,0.00682272,0.00682272,0.00682272,0.00682272
1167567.568,0.00687509,0.00687509,0.00687509,0.00687509,0.00687509,0.00687509,0.00687509,0.00687509,0.00687509,0.00687509,0.00687509
1175475.475,0.00692759,0.00692759,0.00692759,0.00692759,0.00692759,0.00692759,0.00692759,0.00692759,0.00692759,0.00692759,0.00692759
1183383.383,0.00698022,0.00698022,0.00698022,0.00698022,0.00698022,0.00698022,0.00698022,0.00698022,0.00698022,0.00698022,0.00698022
1191291.291,0.00703298,0.00703298,0.00703298,0.00703298,0.00703298,0.00703298,0.00703298,0.00703298,0.00703298,0.00703298,0.00703298
1199199.199,0.00708587,0.00708587,0.00708587,0.00708587,0.00708587,0.00708587,0.00708587,0.00708587,0.00708587,0.00708587,0.00708587
1207107.107,0.0071389,0.0071389,0.0071389,0.0071389,0.0071389,0.0071389,0.0071389,0.0071389,0.0071389,0.0071389,0.0071389
1215015.015,0.00719206,0.00719206,0.00719206,0.00719206,0.00719206,0.00719206,0.00719206,0.00719206,0.00719206,0.00719206,0.00719206
1222922.923,0.00724536,0.00724536,0.00724536,0.00724536,0.00724536,0.00724536,0.00724536,0.00724536,0.00724536,0.00724536,0.00724536
1230830.831,0.00729879,0.00729879,0.00729879,0.00729879,0.00729879,0.00729879,0.00729879,0.00729879,0.00729879,0.00729879,0.00729879
1238738.739,0.00735237,0.00735237,0.00735237,0.00735237,0.00735237,0.00735237,0.00735237,0.00735237,0.00735237,0.00735237,0.00735237
1246646.647,0.00740609,0.00740609,0.00740609,0.00740609,0.00740609,0.00740609,0.00740609,0.00740609,0.00740609,0.00740609,0.00740609
1254554.555,0.00745995,0.00745995,0.00745995,0.00745995,0.00745995,0.00745995,0.00745995,0.00745995,0.00745995,0.00745995,0.00745995
1262462.462,0.00751395,0.00751395,0.00751395,0.00751395,0.00751395,0.00751395,0.00751395,0.00751395,0.00751395,0.00751395,0.00751395
1270370.37,0.0075681,0.0075681,0.0075681,0.0075681,0.0075681,0.0075681,0.0075681,0.0075681,0.0075681,0.0075681,0.0075681
1278278.278,0.00762239,0.00762239,0.00762239,0.00762239,0.00762239,0.00762239,0.00762239,0.00762239,0.00762239,0.00762239,0.00762239
1286186.186,0.00767684,0.00767684,0.00767684,0.00767684,0.00767684,0.00767684,0.00767684,0.00767684,0.00767684,0.00767684,0.00767684
1294094.094,0.00773143,0.00773143,0.00773143,0.00773143,0.00773143,0.00773143,0.00773143,0.00773143,0.00773143,0.00773143,0.00773143
1302002.002,0.00778617,0.00778617,0.00778617,0.00778617,0.00778617,0.00778617,0.00778617,0.00778617,0.00778617,0.00778617,0.00778617
1309909.91,0.00784106,0.00784106,0.00784106,0.00784106,0.00784106,0.00784106,0.00784106,0.00784106,0.00784106,0.00784106,0.00784106
1317817.818,0.00789611,0.00789611,0.00789611,0.00789611,0.00789611,0.00789611,0.00789611,0.00789611,0.00789611,0.00789611,0.00789611
1325725.726,0.00795131,0.00795131,0.00795131,0.00795131,0.00795131,0.00795131,0.00795131,0.00795131,0.00795131,0.00795131,0.00795131
1333633.634,0.00800666,0.00800666,0.00800666,0.00800666,0.00800666,0.00800666,0.00800666,0.00800666,0.00800666,0.00800666,0.00800666
1341541.542,0.00806218,0.00806218,0.00806218,0.00806218,0.00806218,0.00806218,0.00806218,0.00806218,0.00806218,0.00806218,0.00806218
1349449.449,0.00811785,0.00811785,0.00811785,0.00811785,0.00811785,0.00811785,0.00811785,0.00811785,0.00811785,0.00811785,0.00811785
1357357.357,0.00817368,0.00817368,0.00817368,0.00817368,0.00817368,0.00817368,0.00817368,0.00817368,0.00817368,0.00817368,0.00817368
1365265.265,0.00822967,0.00822967,0.00822967,0.00822967,0.00822967,0.00822967,0.00822967,0.00822967,0.00822967,0.00822967,0.00822967
1373173.173,0.00828583,0.00828583,0.00828583,0.00828583,0.00828583,0.00828583,0.00828583,0.00828583,0.00828583,0.00828583,0.00828583
1381081.081,0.00834215,0.00834215,0.00834215,0.00834215,0.00834215,0.00834215,0.00834215,0.00834215,0.00834215,0.00834215,0.00834215
1388988.989,0.00839864,0.00839864,0.00839864,0.00839864,0.00839864,0.00839864,0.00839864,0.00839864,0.00839864,0.00839864,0.00839864
1396896.897,0.0084553,0.0084553,0.0084553,0.0084553,0.0084553,0.0084553,0.0084553,0.0084553,0.0084553,0.0084553,0.0084553
1404804.805,0.00851212,0.00851212,0.00851212,0.00851212,0.00851212,0.00851212,0.00851212,0.00851212,0.00851212,0.00851212,0.00851212
1412712.713,0.00856912,0.00856912,0.00856912,0.00856912,0.00856912,0.00856912,0.00856912,0.00856912,0.00856912,0.00856912,0.00856912
1420620.621,0.00862629,0.00862629,0.00862629,0.00862629,0.00862629,0.00862629,0.00862629,0.00862629,0.00862629,0.00862629,0.00862629
1428528.529,0.00868363,0.00868363,0.00868363,0.00868363,0.00868363,0.00868363,0.00868363,0.00868363,0.00868363,0.00868363,0.00868363
1436436.436,0.00874115,0.00874115,0.00874115,0.00874115,0.00874115,0.00874115,0.00874115,0.00874115,0.00874115,0.00874115,0.00874115
1444344.344,0.00879885,0.00879885,0.00879885,0.00879885,0.00879885,0.00879885,0.00879885,0.00879885,0.00879885,0.00879885,0.00879885
1452252.252,0.00885672,0.00885672,0.00885672,0.00885672,0.00885672,0.00885672,0.00885672,0.00885672,0.00885672,0.00885672,0.00885672
1460160.16,0.00891478,0.00891478,0.00891478,0.00891478,0.00891478,0.00891478,0.00891478,0.00891478,0.00891478,0.00891478,0.00891478
1468068.068,0.00897302,0.00897302,0.00897302,0.00897302,0.00897302,0.00897302,0.00897302,0.00897302,0.00897302,0.00897302,0.00897302
1475975.976,0.00903144,0.00903144,0.00903144,0.00903144,0.00903144,0.00903144,0.00903144,0.00903144,0.00903144,0.00903144,0.00903144
1483883.884,0.00909004,0.00909004,0.00909004,0.00909004,0.00909004,0.00909004,0.00909004,0.00909004,0.00909004,0.00909004,0.00909004
1491791.792,0.00914884,0.00914884,0.00914884,0.00914884,0.00914884,0.00914884,0.00914884,0.00914884,0.00914884,0.00914884,0.00914884
1499699.7,0.00920782,0.00920782,0.00920782,0.00920782,0.00920782,0.00920782,0.00920782,0.00920782,0.00920782,0.00920782,0.00920782
1507607.608,0.00926699,0.00926699,0.00926699,0.00926699,0.00926699,0.00926699,0.00926699,0.00926699,0.00926699,0.00926699,0.00926699
1515515.516,0.00932636,0.00932636,0.00932636,0.00932636,0.00932636,0.00932636,0.00932636,0.00932636,0.00932636,0.00932636,0.00932636
1523423.423,0.00938592,0.00938592,0.00938592,0.00938592,0.00938592,0.00938592,0.00938592,0.00938592,0.00938592,0.00938592,0.00938592
1531331.331,0.00944567,0.00944567,0.00944567,0.00944567,0.00944567,0.00944567,0.00944567,0.00944567,0.00944567,0.00944567,0.00944567
