"FREQ","R1(1)[X=0.00]","R1(1)[X=100m]","R1(1)[X=200m]","R1(1)[X=300m]","R1(1)[X=400m]","R1(1)[X=500m]","R1(1)[X=600m]","R1(1)[X=700m]","R1(1)[X=800m]","R1(1)[X=900m]","R1(1)[X=1.00]"
898698.6987,0.00227618,0.00227618,0.00227618,0.00227618,0.00227618,0.00227618,0.00227618,0.00227618,0.00227618,0.00227618,0.00227618
906606.6066,0.00229686,0.00229686,0.00229686,0.00229686,0.00229686,0.00229686,0.00229686,0.00229686,0.00229686,0.00229686,0.00229686
914514.5145,0.00231756,0.00231756,0.00231756,0.00231756,0.00231756,0.00231756,0.00231756,0.00231756,0.00231756,0.00231756,0.00231756
922422.4224,0.00233827,0.00233827,0.00233827,0.00233827,0.00233827,0.00233827,0.00233827,0.00233827,0.00233827,0.00233827,0.00233827
930330.3303,0.00235901,0.00235901,0.00235901,0.00235901,0.00235901,0.00235901,0.00235901,0.00235901,0.00235901,0.00235901,0.00235901
938238.2382,0.00237976,0.00237976,0.00237976,0.00237976,0.00237976,0.00237976,0.00237976,0.00237976,0.00237976,0.00237976,0.00237976
946146.1461,0.00240053,0.00240053,0.00240053,0.00240053,0.00240053,0.00240053,0.00240053,0.00240053,0.00240053,0.00240053,0.00240053
954054.0541,0.00242132,0.00242132,0.00242132,0.00242132,0.00242132,0.00242132,0.00242132,0.00242132,0.00242132,0.00242132,0.00242132
961961.962,0.00244212,0.00244212,0.00244212,0.00244212,0.00244212,0.00244212,0.00244212,0.00244212,0.00244212,0.00244212,0.00244212
969869.8699,0.00246295,0.00246295,0.00246295,0.00246295,0.00246295,0.00246295,0.00246295,0.00246295,0.00246295,0.00246295,0.00246295
977777.7778,0.00248379,0.00248379,0.00248379,0.00248379,0.00248379,0.00248379,0.00248379,0.00248379,0.00248379,0.00248379,0.00248379
985685.6857,0.00250466,0.00250466,0.00250466,0.00250466,0.00250466,0.00250466,0.00250466,0.00250466,0.00250466,0.00250466,0.00250466
993593.5936,0.00252554,0.00252554,0.00252554,0.00252554,0.00252554,0.00252554,0.00252554,0.00252554,0.00252554,0.00252554,0.00252554
1001501.502,0.00254644,0.00254644,0.00254644,0.00254644,0.00254644,0.00254644,0.00254644,0.00254644,0.00254644,0.00254644,0.00254644
